congress,chamber,rollnumber,icpsr,cast_code,prob
117,House,1,14066.0,6,100.0
117,House,1,14854.0,6,100.0
117,House,1,14863.0,6,99.8
117,House,1,14873.0,1,100.0
117,House,1,15019.0,1,92.8
117,House,1,15029.0,1,100.0
117,House,1,15410.0,1,100.0
117,House,1,15433.0,1,100.0
117,House,1,15438.0,1,100.0
117,House,1,15446.0,6,100.0
117,House,1,15448.0,1,100.0
117,House,1,15454.0,1,100.0
117,House,1,15616.0,1,100.0
117,House,1,20104.0,1,100.0
117,House,1,20107.0,6,100.0
117,House,1,20119.0,1,100.0
117,House,1,20122.0,1,100.0
117,House,1,20124.0,6,100.0
117,House,1,20136.0,1,100.0
117,House,1,20138.0,6,100.0
117,House,1,20145.0,1,100.0
117,House,1,20301.0,6,100.0
117,House,1,20305.0,1,100.0
117,House,1,20307.0,6,100.0
117,House,1,20310.0,1,100.0
117,House,1,20316.0,6,100.0
117,House,1,20321.0,1,99.9
117,House,1,20322.0,1,97.8
117,House,1,20329.0,1,99.9
117,House,1,20340.0,1,100.0
117,House,1,20342.0,6,100.0
117,House,1,20343.0,1,100.0
117,House,1,20344.0,6,100.0
117,House,1,20355.0,6,100.0
117,House,1,20356.0,6,100.0
117,House,1,20501.0,1,92.4
117,House,1,20504.0,1,100.0
117,House,1,20517.0,1,100.0
117,House,1,20518.0,6,100.0
117,House,1,20519.0,1,100.0
117,House,1,20521.0,6,100.0
117,House,1,20522.0,6,100.0
117,House,1,20527.0,6,100.0
117,House,1,20529.0,1,100.0
117,House,1,20530.0,6,100.0
117,House,1,20533.0,1,94.0
117,House,1,20535.0,6,100.0
117,House,1,20537.0,1,100.0
117,House,1,20538.0,1,100.0
117,House,1,20542.0,1,100.0
117,House,1,20702.0,1,99.7
117,House,1,20703.0,6,100.0
117,House,1,20704.0,6,100.0
117,House,1,20705.0,1,99.8
117,House,1,20706.0,1,100.0
117,House,1,20708.0,1,100.0
117,House,1,20709.0,6,100.0
117,House,1,20712.0,1,100.0
117,House,1,20723.0,1,100.0
117,House,1,20724.0,1,100.0
117,House,1,20725.0,6,100.0
117,House,1,20729.0,6,100.0
117,House,1,20733.0,1,100.0
117,House,1,20738.0,6,100.0
117,House,1,20748.0,1,100.0
117,House,1,20749.0,1,99.4
117,House,1,20750.0,1,100.0
117,House,1,20755.0,6,100.0
117,House,1,20756.0,6,100.0
117,House,1,20757.0,1,100.0
117,House,1,20758.0,6,100.0
117,House,1,20759.0,6,100.0
117,House,1,20762.0,1,100.0
117,House,1,20902.0,1,93.4
117,House,1,20903.0,6,100.0
117,House,1,20907.0,1,99.5
117,House,1,20909.0,6,100.0
117,House,1,20916.0,6,100.0
117,House,1,20920.0,1,100.0
117,House,1,20926.0,6,100.0
117,House,1,20927.0,1,99.9
117,House,1,20934.0,1,100.0
117,House,1,20941.0,1,100.0
117,House,1,20944.0,1,94.7
117,House,1,20946.0,6,100.0
117,House,1,20952.0,1,99.9
117,House,1,20954.0,1,100.0
117,House,1,20955.0,1,100.0
117,House,1,20958.0,1,100.0
117,House,1,20959.0,1,100.0
117,House,1,21101.0,6,100.0
117,House,1,21102.0,1,100.0
117,House,1,21103.0,6,100.0
117,House,1,21105.0,6,100.0
117,House,1,21106.0,6,100.0
117,House,1,21108.0,6,100.0
117,House,1,21110.0,1,100.0
117,House,1,21116.0,6,100.0
117,House,1,21118.0,1,100.0
117,House,1,21123.0,6,100.0
117,House,1,21128.0,6,100.0
117,House,1,21132.0,6,100.0
117,House,1,21137.0,1,100.0
117,House,1,21139.0,6,100.0
117,House,1,21140.0,1,100.0
117,House,1,21142.0,6,100.0
117,House,1,21148.0,6,100.0
117,House,1,21149.0,6,100.0
117,House,1,21150.0,6,100.0
117,House,1,21162.0,6,100.0
117,House,1,21163.0,6,100.0
117,House,1,21165.0,6,100.0
117,House,1,21167.0,6,100.0
